Animal_Type,Age_Category,Primary_Condition,Severity,Treatment_Category,All_Symptoms
Dog,Puppy,Parvovirus,Severe,Emergency,Vomiting Diarrhea Lethargy Dehydration Loss of Appetite
Dog,Adult,Kennel Cough,Moderate,Medical,Coughing Sneezing Runny Nose Fever Lethargy
Dog,Senior,Arthritis,Moderate,Chronic,Difficulty Walking Joint Pain Stiffness Reduced Activity Weight Gain
Cat,Kitten,Feline Panleukopenia,Severe,Emergency,Loss of Appetite Lethargy Dehydration Vomiting Diarrhea
Cat,Adult,Diabetes,Severe,Chronic,Increased Urination Increased Thirst Weight Loss Lethargy Poor Coat
Cat,Senior,Feline Asthma,Moderate,Chronic,Difficulty Breathing Coughing Loss of Appetite Lethargy Weight Loss
Dog,Adult,Allergic Dermatitis,Mild,Medical,Scratching Hair Loss Red Skin Inflammation Hot Spots
Cat,Adult,Feline Anxiety,Mild,Behavioral,Excessive Grooming Hair Loss Skin Lesions Irritability Scratching
Dog,Senior,Cushing's Disease,Severe,Chronic,Excessive Thirst Frequent Urination Weight Loss Lethargy Increased Appetite
Cat,Kitten,Upper Respiratory Infection,Moderate,Medical,Eye Discharge Sneezing Congestion Loss of Appetite Lethargy
Dog,Adult,Hip Dysplasia,Moderate,Chronic,Limping Swollen Joint Pain Reduced Activity Irritability
Cat,Senior,Hyperthyroidism,Severe,Chronic,Weight Loss Vomiting Diarrhea Poor Appetite Lethargy
Dog,Puppy,Intestinal Parasites,Moderate,Medical,Bloody Stool Vomiting Fever Lethargy Dehydration
Cat,Adult,Urinary Tract Infection,Moderate,Medical,Urinating Outside Box Blood in Urine Frequent Urination Straining Pain
Dog,Senior,Cognitive Dysfunction,Moderate,Chronic,Confusion Anxiety Changes in Sleep Vocalization Disorientation
Cat,Kitten,Intestinal Worms,Moderate,Medical,Diarrhea Vomiting Pot-Bellied Appearance Poor Growth Lethargy
Dog,Adult,Epilepsy,Severe,Chronic,Seizures Disorientation Loss of Balance Confusion Collapse
Cat,Senior,Osteoarthritis,Moderate,Chronic,Difficulty Jumping Reduced Activity Pain Irritability Weight Loss
Dog,Puppy,Distemper,Severe,Emergency,Fever Swollen Lymph Nodes Lethargy Loss of Appetite Coughing
Cat,Adult,Hyperthyroidism,Severe,Chronic,Weight Loss Increased Appetite Aggression Hyperactivity Restlessness
Dog,Adult,Periodontal Disease,Moderate,Dental,Bad Breath Bleeding Gums Tooth Loss Difficulty Eating Drooling
Cat,Senior,Retinal Disease,Moderate,Chronic,Vision Problems Dilated Pupils Bumping Into Objects Behavioral Changes Disorientation
Dog,Senior,Heart Disease,Severe,Chronic,Coughing Difficulty Breathing Exercise Intolerance Fatigue Collapse
Cat,Kitten,Feline Calicivirus,Moderate,Medical,Fever Swollen Lymph Nodes Eye Discharge Sneezing Lethargy
Dog,Adult,Diabetes,Severe,Chronic,Excessive Drinking Frequent Urination Weight Loss Increased Appetite Lethargy
Cat,Adult,Inflammatory Bowel Disease,Moderate,Chronic,Vomiting Weight Loss Poor Appetite Lethargy Diarrhea
Dog,Puppy,Mange,Moderate,Medical,Itching Hair Loss Skin Redness Scabs Hot Spots
Cat,Senior,Liver Disease,Severe,Chronic,Poor Appetite Weight Loss Vomiting Yellowing of Eyes Lethargy
Dog,Adult,Lyme Disease,Moderate,Medical,Lameness Joint Swelling Pain Fever Lethargy
Cat,Adult,Psychogenic Alopecia,Mild,Behavioral,Hair Loss Excessive Grooming Skin Lesions Anxiety Aggression
Dog,Puppy,Intussusception,Severe,Emergency,Swollen Abdomen Pain Fever Lethargy Vomiting
Cat,Kitten,Pneumonia,Severe,Emergency,Coughing Wheezing Rapid Breathing Lethargy Blue Gums
Dog,Senior,Kidney Disease,Severe,Chronic,Increased Urination Increased Thirst Urinary Accidents Lethargy Weight Loss
Cat,Adult,Abscess,Moderate,Medical,Limping Swelling Pain Fever Lethargy
Dog,Adult,Ear Infection,Mild,Medical,Ear Scratching Head Shaking Ear Odor Ear Discharge Redness
Cat,Senior,Megacolon,Moderate,Chronic,Constipation Straining Crying in Litter Box Reduced Appetite Lethargy
Dog,Puppy,Kennel Cough,Moderate,Medical,Coughing Gagging Difficulty Swallowing Lethargy Fever
Cat,Kitten,Feline Infectious Peritonitis,Severe,Terminal,Swollen Abdomen Poor Growth Dull Coat Lethargy Diarrhea
Dog,Senior,Cancer,Severe,Terminal,Lumps Weight Loss Lethargy Loss of Appetite Difficulty Breathing
Cat,Adult,Kidney Disease,Severe,Chronic,Excessive Thirst Frequent Urination Weight Loss Vomiting Lethargy
Dog,Adult,Anal Gland Impaction,Mild,Medical,Scooting Licking Rear Swollen Anal Area Discomfort Anal Discharge
Cat,Senior,Oral Cancer,Severe,Terminal,Drooling Pawing at Mouth Bad Breath Difficulty Eating Weight Loss
Dog,Puppy,Roundworms,Moderate,Medical,Pot-Bellied Appearance Diarrhea Weight Loss Vomiting Lethargy
Cat,Kitten,Ringworm,Mild,Medical,Hair Loss Scratching Skin Lesions Restlessness Irritability
Dog,Senior,Cataracts,Moderate,Surgical,Cloudy Eyes Bumping Into Objects Disorientation Anxiety Behavioral Changes
Cat,Adult,Nasal Polyps,Moderate,Surgical,Sneezing Nasal Discharge Facial Swelling Pawing at Face Lethargy
Dog,Adult,Gastric Ulcers,Severe,Emergency,Vomiting Blood Black Stool Lethargy Pale Gums Collapse
Cat,Senior,Cognitive Dysfunction,Moderate,Chronic,Increased Vocalization Disorientation Changes in Sleep Anxiety Inappropriate Elimination
Dog,Puppy,Allergic Reaction,Severe,Emergency,Swollen Face Hives Itching Difficulty Breathing Vomiting
Cat,Kitten,Congenital Heart Defect,Severe,Surgical,Swollen Abdomen Difficulty Breathing Lethargy Poor Appetite Blue Gums
Dog,Senior,Degenerative Myelopathy,Severe,Terminal,Difficulty Rising Muscle Wasting Weakness Trembling Collapse
Cat,Adult,Cushing's Disease,Moderate,Chronic,Excessive Drinking Frequent Urination Weight Gain Lethargy Poor Coat
Dog,Adult,Internal Bleeding,Severe,Emergency,Swollen Abdomen Difficulty Breathing Pale Gums Weakness Collapse
Cat,Senior,Bladder Stones,Moderate,Surgical,Difficulty Urinating Blood in Urine Crying in Litter Box Frequent Licking Lethargy
Dog,Puppy,Conjunctivitis,Mild,Medical,Eye Discharge Squinting Redness Pawing at Eye Swelling
Cat,Kitten,Broken Bone,Moderate,Surgical,Limping Swollen Leg Pain Fever Lethargy
Dog,Senior,Thyroid Disease,Moderate,Chronic,Increased Appetite Weight Loss Panting Restlessness Hair Loss
Cat,Adult,Pleural Effusion,Severe,Emergency,Difficulty Breathing Open-Mouth Breathing Lethargy Blue Gums Collapse
Dog,Adult,Acral Lick Dermatitis,Mild,Behavioral,Excessive Licking Hair Loss Skin Redness Anxiety Restlessness
